Players,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Iqbal Qasim,PAK,,,,,,,,0,9,,6,,15,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sikander Bakht,PAK,,,,,,,,0,16,3,,3,3,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aamer Hameed,PAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA Cope,ENG,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEH Croft,WI,,,,,,,,,5,3,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR Downton,ENG,,,,,,,,,,,,,,,71,94,28,19,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J Garner,WI,,,,,,,,,13,25,32,6,6,42,30,42,3,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liaqat Ali,PAK,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT Radley,ENG,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DI Gower,ENG,,,,,,,,,201,302,76,141,189,1086,201,231,137,341,,125,86,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL Haynes,WI,,,,,,,,,148,298,171,294,131,520,813,1232,416,562,746,1007,283,440,645,674,268,,,,,,,,,,,,,,,,,,,,,,,,,
S Amarnath,INDIA,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JG Wright,NZ,,,,,,,,,48,166,201,378,23,598,166,187,320,252,742,102,465,122,121,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azmat Rana,PAK,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RB Simpson,AUS,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM Toohey,AUS,,,,,,,,,35,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM Wood,AUS,,,,,,,,,33,87,24,658,317,379,39,603,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA Edgar,NZ,,,,,,,,,31,113,154,390,93,552,64,,417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT Shillingford,WI,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WM Darling,AUS,,,,,,,,,29,99,,162,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPS Chauhan,INDIA,,,,,,,,,25,,89,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AE Greenidge,WI,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJ Rixon,AUS,,,,,,,,,20,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Shivnarine,WI,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GN Yallop,AUS,,,,,,,,,19,125,63,111,,396,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N Kapil Dev,INDIA,,,,,,,,,18,53,112,102,230,527,101,263,517,448,331,238,192,135,318,141,57,,,,,,,,,,,,,,,,,,,,,,,,,
WW Daniel,WI,,,,,,,,,14,,,,,16,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arshad Pervez,PAK,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yashpal Sharma,INDIA,,,,,,,,,11,,145,124,199,349,41,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RA Austin,WI,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HA Gomes,WI,,,,,,,,,7,,36,56,100,343,205,430,83,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B Yardley,AUS,,,,,,,,,7,,,28,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IW Callen,AUS,,,,,,,,,6,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DR Parry,WI,,,,,,,,,5,4,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJ Laughlin,AUS,,,,,,,,,2,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFAF Bacchus,WI,,,,,,,,,0,,157,75,145,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP Bracewell,NZ,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST Clarke,WI,,,,,,,,,0,,20,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naeem Ahmed,PAK,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N Phillip,WI,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SL Boock,NZ,,,,,,,,,,,2,,,,8,,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WM Clark,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B Reddy,INDIA,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR Border,AUS,,,,,,,,,,200,219,454,346,428,438,830,595,642,212,533,540,329,212,221,325,,,,,,,,,,,,,,,,,,,,,,,,,
AMJ Hilditch,AUS,,,,,,,,,,153,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL Dias,SL,,,,,,,,,,75,,,479,157,115,587,33,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GR Sealy,CAN,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JM Wiener,AUS,,,,,,,,,,57,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL Bairstow,ENG,,,,,,,,,,56,99,21,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JV Coney,NZ,,,,,,,,,,47,173,119,102,509,192,242,410,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA Dennis,CAN,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BM Laird,AUS,,,,,,,,,,41,51,156,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CJD Chappell,CAN,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JCB Vaughan,CAN,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KJ Wright,AUS,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WK Lees,NZ,,,,,,,,,,28,77,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP Pasqual,SL,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BM Mauricette,CAN,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC Khanna,INDIA,,,,,,,,,,17,,,,,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tariq Javed,CAN,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH Carlson,AUS,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JA Maclean,AUS,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLS de Silva,SL,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA Marshall,CAN,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MP Stead,CAN,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RM Hogg,AUS,,,,,,,,,,8,,3,,42,47,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W Larkins,ENG,,,,,,,,,,7,77,,,,,,,,,239,228,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JK Moss,AUS,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC Henry,CAN,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS Madugalle,SL,,,,,,,,,,4,,,142,190,98,252,,107,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EJ Chatfield,NZ,,,,,,,,,,3,10,2,2,49,6,11,18,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JM Patel,CAN,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD Porter,AUS,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JN Valentine,CAN,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GR Dilley,ENG,,,,,,,,,,1,0,3,1,90,1,,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA Jayasinghe,SL,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Baksh,CAN,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG Callender,CAN,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRMD Gunatilleke,SL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LW Stott,NZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RW Tolchard,ENG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J Dyson,AUS,,,,,,,,,,,218,37,183,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM Patil,INDIA,,,,,,,,,,,125,113,283,299,156,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE McEwan,NZ,,,,,,,,,,,96,27,,,45,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CJ Tavare,ENG,,,,,,,,,,,87,,173,456,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWJ Athey,ENG,,,,,,,,,,,83,,,,,,142,619,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RO Butcher,ENG,,,,,,,,,,,52,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMH Binny,INDIA,,,,,,,,,,,49,143,41,173,115,31,77,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KBJ Azad,INDIA,,,,,,,,,,,34,92,,56,56,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM Chappell,AUS,,,,,,,,,,,32,58,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB Stevenson,ENG,,,,,,,,,,,29,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taslim Arif,PAK,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JE Emburey,ENG,,,,,,,,,,,26,5,0,,,,42,326,62,10,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,
Mansoor Akhtar,PAK,,,,,,,,,,,24,14,170,9,181,,,132,,31,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD Marshall,WI,,,,,,,,,,,18,45,37,47,134,79,89,52,104,167,39,120,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saleem Pervez,PAK,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR Butcher,ENG,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VJ Marks,ENG,,,,,,,,,,,9,,,118,108,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC Snedden,NZ,,,,,,,,,,,7,25,4,187,1,14,29,170,72,7,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE Srinivasan,INDIA,,,,,,,,,,,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF Graf,AUS,,,,,,,,,,,5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JF Reid,NZ,,,,,,,,,,,5,,20,,202,273,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GF Lawson,AUS,,,,,,,,,,,4,55,5,103,99,107,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rashid Khan,AFG,,,,,,,,,,,4,,,9,72,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,215,243,182,122
DR Doshi,INDIA,,,,,,,,,,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammad Nazir,PAK,,,,,,,,,,,2,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MR Pydanna,WI,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DF Whatmore,AUS,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDS Smith,NZ,,,,,,,,,,,1,64,14,8,148,142,4,69,101,70,193,146,95,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ijaz Faqih,PAK,,,,,,,,,,,0,57,6,61,67,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B Yograj Singh,INDIA,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashraf Ali,PAK,,,,,,,,,,,,30,3,,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tahir Naqqash,PAK,,,,,,,,,,,,22,45,1,13,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EH Mattis,WI,,,,,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF Kent,AUS,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JD Love,ENG,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DM Wellham,AUS,,,,,,,,,,,,42,,,,19,61,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ Shastri,INDIA,,,,,,,,,,,,19,30,211,279,450,441,355,367,171,238,283,264,,,,,,,,,,,,,,,,,,,,,,,,,,,
GK Robertson,NZ,,,,,,,,,,,,17,,,21,,7,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K Srikkanth,INDIA,,,,,,,,,,,,17,297,310,149,345,748,598,618,404,54,276,275,,,,,,,,,,,,,,,,,,,,,,,,,,,
G Cook,ENG,,,,,,,,,,,,14,90,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rizwan-uz-Zaman,PAK,,,,,,,,,,,,14,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW Humpage,ENG,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM Alderman,AUS,,,,,,,,,,,,10,2,,7,8,,,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PJL Dujon,WI,,,,,,,,,,,,0,134,190,262,199,164,234,254,295,70,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CJ Richards,ENG,,,,,,,,,,,,0,3,,,,8,129,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GR Beard,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL Logie,WI,,,,,,,,,,,,,,6,248,500,161,512,499,287,27,289,122,158,,,,,,,,,,,,,,,,,,,,,,,,,,
SV Nayak,INDIA,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Randhir Singh,INDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Wettimuny,SL,,,,,,,,,,,,,328,287,89,68,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ Lamb,ENG,,,,,,,,,,,,,279,648,339,303,186,859,109,349,422,216,300,,,,,,,,,,,,,,,,,,,,,,,,,,,
AO Malhotra,INDIA,,,,,,,,,,,,,143,189,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALF de Mel,SL,,,,,,,,,,,,,86,130,32,100,99,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Ranatunga,SL,,,,,,,,,,,,,68,145,138,283,324,342,340,237,565,152,360,572,840,452,607,815,796,420,,,,,,,,,,,,,,,,,,,,
DR Pringle,ENG,,,,,,,,,,,,,34,11,16,17,105,20,81,55,30,1,49,6,,,,,,,,,,,,,,,,,,,,,,,,,,
BR Blair,NZ,,,,,,,,,,,,,31,,,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Goonatilleke,SL,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSA Jayasekera,SL,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J Arun Lal,INDIA,,,,,,,,,,,,,15,16,,,,7,77,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAHM Parkar,INDIA,,,,,,,,,,,,,12,42,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD Crowe,NZ,,,,,,,,,,,,,10,318,416,238,622,324,331,196,810,163,789,195,98,194,,,,,,,,,,,,,,,,,,,,,,,,
JR Ratnayeke,SL,,,,,,,,,,,,,9,54,29,163,71,104,258,99,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ Ratnayake,SL,,,,,,,,,,,,,6,70,,145,28,76,,20,168,44,,55,,,,,,,,,,,,,,,,,,,,,,,,,,
PJW Allott,ENG,,,,,,,,,,,,,5,8,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM Ritchie,AUS,,,,,,,,,,,,,4,,340,64,462,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE Hemmings,ENG,,,,,,,,,,,,,1,3,,,,4,,1,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saleem Malik,PAK,,,,,,,,,,,,,0,27,149,251,107,799,539,931,603,185,654,221,748,227,904,538,171,116,,,,,,,,,,,,,,,,,,,,
Jalal-ud-Din,PAK,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VB John,SL,,,,,,,,,,,,,,35,9,29,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WB Phillips,AUS,,,,,,,,,,,,,,,153,492,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saleem Yousuf,PAK,,,,,,,,,,,,,,,1,8,76,191,137,28,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS Sandhu,INDIA,,,,,,,,,,,,,,44,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shahid Mahboob,PAK,,,,,,,,,,,,,,100,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tauseef Ahmed,PAK,,,,,,,,,,,,,,,42,3,6,4,10,39,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGCE Wijesuriya,SL,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KC Wessels,SA,,,,,,,,,,,,,,429,802,509,,,,,,211,709,390,317,,,,,,,,,,,,,,,,,,,,,,,,,
G Fowler,ENG,,,,,,,,,,,,,,360,148,206,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JJ Crowe,NZ,,,,,,,,,,,,,,345,161,179,387,189,137,66,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KM Curran,ZIM,,,,,,,,,,,,,,212,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG de Alwis,SL,,,,,,,,,,,,,,198,18,,51,16,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAG Fletcher,ZIM,,,,,,,,,,,,,,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSBP Kuruppu,SL,,,,,,,,,,,,,,182,70,41,103,69,331,121,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL Houghton,ZIM,,,,,,,,,,,,,,176,,,,226,,,,,238,369,97,173,33,218,,,,,,,,,,,,,,,,,,,,,,
SB Smith,AUS,,,,,,,,,,,,,,164,484,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IJ Gould,ENG,,,,,,,,,,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE Jesty,ENG,,,,,,,,,,,,,,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERNS Fernando,SL,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA Paterson,ZIM,,,,,,,,,,,,,,99,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RD Brown,ZIM,,,,,,,,,,,,,,93,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IP Butchart,ZIM,,,,,,,,,,,,,,82,,,,98,,,,,60,,10,2,,,,,,,,,,,,,,,,,,,,,,,,
KH MacLeay,AUS,,,,,,,,,,,,,,73,15,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ Pycroft,ZIM,,,,,,,,,,,,,,71,,,,174,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y Goonasekera,SL,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdul Qadir,PAK,,,,,,,,,,,,,,62,70,62,127,146,34,130,3,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
TG Hogan,AUS,,,,,,,,,,,,,,55,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JG Heron,ZIM,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RB Richardson,WI,,,,,,,,,,,,,,46,382,701,539,456,593,813,341,658,553,435,124,246,361,,,,,,,,,,,,,,,,,,,,,,,
JG Bracewell,NZ,,,,,,,,,,,,,,41,32,47,126,62,161,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE Peckover,ZIM,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RD Woolley,AUS,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PN Webb,NZ,,,,,,,,,,,,,,30,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AH Omarshah,ZIM,,,,,,,,,,,,,,26,,,,80,,,,,205,79,,,47,,,,,,,,,,,,,,,,,,,,,,,
AJ Traicos,ZIM,,,,,,,,,,,,,,25,,,,10,,,,,42,11,,,,,,,,,,,,,,,,,,,,,,,,,,
PWE Rawson,ZIM,,,,,,,,,,,,,,24,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azeem Hafeez,PAK,,,,,,,,,,,,,,12,10,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WW Davis,WI,,,,,,,,,,,,,,7,,11,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VR Hogg,ZIM,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ Webb,NZ,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAE Baptiste,WI,,,,,,,,,,,,,,5,106,8,,14,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NG Cowans,ENG,,,,,,,,,,,,,,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qasim Umar,PAK,,,,,,,,,,,,,,5,275,193,49,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR Samarasekera,SL,,,,,,,,,,,,,,5,,,5,,161,178,116,,351,,28,,,,,,,,,,,,,,,,,,,,,,,,,
JN Maguire,AUS,,,,,,,,,,,,,,3,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG Rackemann,AUS,,,,,,,,,,,,,,2,18,,,,,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD Wettimuny,SL,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RR Kulkarni,INDIA,,,,,,,,,,,,,,1,,,14,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MR Whitney,AUS,,,,,,,,,,,,,,1,,,,6,5,,,2,24,2,,,,,,,,,,,,,,,,,,,,,,,,,,
TJ Franklin,NZ,,,,,,,,,,,,,,0,6,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RA Harper,WI,,,,,,,,,,,,,,0,,86,131,131,46,22,,,3,50,86,150,150,,,,,,,,,,,,,,,,,,,,,,,
GN de Silva,SL,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Jeganathan,SL,,,,,,,,,,,,,,,,,,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maninder Singh,INDIA,,,,,,,,,,,,,,,4,,11,18,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAP Sekhar,INDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C Sharma,INDIA,,,,,,,,,,,,,,,42,9,167,14,28,180,,,15,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Saadat Ali,PAK,,,,,,,,,,,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS Gabriel,WI,,,,,,,,,,,,,,,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DM Jones,AUS,,,,,,,,,,,,,,,141,340,320,937,590,716,1174,472,622,287,469,,,,,,,,,,,,,,,,,,,,,,,,,
Manzoor Elahi,PAK,,,,,,,,,,,,,,,114,9,210,263,86,,17,,,,8,34,,,,,,,,,,,,,,,,,,,,,,,,
CL Smith,ENG,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
